run,cores,variant,location,load,query,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms
ResultsRun1,2,sev,remote,low,LdbcUpdate3AddCommentLike,4,42.0,39,49,49,49
ResultsRun1,2,sev,remote,low,LdbcUpdate4AddForum,2,85.0,53,117,117,117
ResultsRun1,2,sev,remote,low,LdbcUpdate5AddForumMembership,24,46.625,41,63,69,74
ResultsRun1,2,sev,remote,low,LdbcUpdate6AddPost,22,56.68181818181818,60,63,63,142
ResultsRun1,2,sev,remote,low,LdbcUpdate7AddComment,10,58.6,50,73,97,97
ResultsRun1,2,sev,remote,low,LdbcUpdate8AddFriendship,1,93.0,93,93,93,93
ResultsRun1,2,sev,remote,medium,LdbcQuery1,2,374.5,262,487,487,487
ResultsRun1,2,sev,remote,medium,LdbcQuery10,2,874.5,753,996,996,996
ResultsRun1,2,sev,remote,medium,LdbcQuery11,4,148.25,124,225,225,225
ResultsRun1,2,sev,remote,medium,LdbcQuery12,2,973.5,559,1388,1388,1388
ResultsRun1,2,sev,remote,medium,LdbcQuery13,4,60.75,58,72,72,72
ResultsRun1,2,sev,remote,medium,LdbcQuery14,1,2457.0,2457,2457,2457,2457
ResultsRun1,2,sev,remote,medium,LdbcQuery2,1,222.0,222,222,222,222
ResultsRun1,2,sev,remote,medium,LdbcQuery3,1,2788.0,2788,2788,2788,2788
ResultsRun1,2,sev,remote,medium,LdbcQuery4,1,140.0,140,140,140,140
ResultsRun1,2,sev,remote,medium,LdbcQuery5,1,1661.0,1661,1661,1661,1661
ResultsRun1,2,sev,remote,medium,LdbcQuery7,1,292.0,292,292,292,292
ResultsRun1,2,sev,remote,medium,LdbcQuery8,2,205.5,62,349,349,349
ResultsRun1,2,sev,remote,medium,LdbcShortQuery1PersonProfile,24,56.625,62,88,89,97
ResultsRun1,2,sev,remote,medium,LdbcShortQuery2PersonPosts,24,58.75,62,73,90,92
ResultsRun1,2,sev,remote,medium,LdbcShortQuery3PersonFriends,24,54.625,60,66,72,95
